Treatment,LenaRCHOP,PolaRCHP,BortRCHOP,IbrutRCHOP,DA_EPOCH_R,GCHOP,RCHOP
LenaRCHOP,LenaRCHOP,1.00 [0.51; 1.95],0.95 [0.47; 1.84],0.84 [0.42; 1.63],0.83 [0.41; 1.63],0.82 [0.42; 1.57],0.77 [0.50; 1.14]
PolaRCHP,1.00 [0.51; 1.96],PolaRCHP,0.95 [0.44; 1.99],0.84 [0.39; 1.77],0.83 [0.38; 1.77],0.82 [0.39; 1.69],0.77 [0.45; 1.28]
BortRCHOP,1.05 [0.54; 2.11],1.05 [0.50; 2.26],BortRCHOP,0.88 [0.42; 1.88],0.87 [0.41; 1.89],0.86 [0.41; 1.81],0.81 [0.48; 1.39]
IbrutRCHOP,1.20 [0.61; 2.37],1.19 [0.56; 2.55],1.13 [0.53; 2.40],IbrutRCHOP,0.99 [0.46; 2.14],0.97 [0.47; 2.04],0.92 [0.54; 1.56]
DA_EPOCH_R,1.21 [0.61; 2.44],1.21 [0.57; 2.61],1.15 [0.53; 2.46],1.02 [0.47; 2.19],DA_EPOCH_R,0.99 [0.47; 2.09],0.93 [0.53; 1.62]
GCHOP,1.22 [0.64; 2.37],1.22 [0.59; 2.58],1.16 [0.55; 2.42],1.03 [0.49; 2.13],1.01 [0.48; 2.12],GCHOP,0.94 [0.56; 1.55]
RCHOP,1.30 [0.87; 1.99],1.30 [0.78; 2.22],1.24 [0.72; 2.09],1.09 [0.64; 1.87],1.08 [0.62; 1.87],1.06 [0.64; 1.79],RCHOP
