Treatment,LenaRCHOP,PolaRCHP,BortRCHOP,IbrutRCHOP,DA_EPOCH_R,GCHOP,RCHOP
LenaRCHOP,LenaRCHOP,1.02 [0.73; 1.42],0.97 [0.69; 1.36],0.85 [0.60; 1.21],0.84 [0.57; 1.25],0.83 [0.61; 1.13],0.78 [0.61; 1.00]
PolaRCHP,0.98 [0.71; 1.37],PolaRCHP,0.95 [0.68; 1.32],0.84 [0.60; 1.18],0.83 [0.56; 1.22],0.82 [0.61; 1.09],0.77 [0.62; 0.96]
BortRCHOP,1.03 [0.74; 1.46],1.05 [0.76; 1.46],BortRCHOP,0.88 [0.62; 1.25],0.87 [0.59; 1.29],0.86 [0.64; 1.16],0.81 [0.64; 1.03]
IbrutRCHOP,1.17 [0.82; 1.67],1.19 [0.85; 1.67],1.13 [0.80; 1.61],IbrutRCHOP,0.99 [0.66; 1.48],0.98 [0.71; 1.33],0.92 [0.71; 1.18]
DA_EPOCH_R,1.19 [0.80; 1.77],1.21 [0.82; 1.77],1.15 [0.77; 1.70],1.01 [0.68; 1.52],DA_EPOCH_R,0.99 [0.69; 1.42],0.93 [0.68; 1.27]
GCHOP,1.20 [0.89; 1.63],1.22 [0.92; 1.63],1.16 [0.86; 1.57],1.03 [0.75; 1.40],1.01 [0.70; 1.45],GCHOP,0.94 [0.78; 1.13]
RCHOP,1.28 [1.00; 1.63],1.30 [1.04; 1.62],1.23 [0.97; 1.57],1.09 [0.84; 1.41],1.08 [0.79; 1.47],1.06 [0.89; 1.27],RCHOP
