PolaRCHP,LenaRCHOP,BortRCHOP,IbrutRCHOP,DA_EPOCH_R,GCHOP,RCHOP
PolaRCHP,.,.,.,.,.,0.77 [0.62; 0.96]
0.98 [0.71; 1.37],LenaRCHOP,.,.,.,.,0.78 [0.61; 1.00]
0.95 [0.68; 1.32],0.97 [0.69; 1.36],BortRCHOP,.,.,.,0.81 [0.64; 1.03]
0.84 [0.60; 1.18],0.85 [0.60; 1.21],0.88 [0.62; 1.25],IbrutRCHOP,.,.,0.92 [0.71; 1.18]
0.83 [0.56; 1.22],0.84 [0.57; 1.25],0.87 [0.59; 1.29],0.99 [0.66; 1.48],DA_EPOCH_R,.,0.93 [0.68; 1.27]
0.82 [0.61; 1.09],0.83 [0.61; 1.13],0.86 [0.64; 1.16],0.98 [0.71; 1.33],0.99 [0.69; 1.42],GCHOP,0.94 [0.78; 1.13]
0.77 [0.62; 0.96],0.78 [0.61; 1.00],0.81 [0.64; 1.03],0.92 [0.71; 1.18],0.93 [0.68; 1.27],0.94 [0.78; 1.13],RCHOP
