database,query,retrieved,log_path
pubmed,"(""serious game""[tiab] OR ""serious games""[tiab] OR ""serious gaming""[tiab] OR gamification[tiab] OR gamified[tiab] OR gamify[tiab] OR ""game-based learning""[tiab] OR ""game based learning""[tiab] OR ""game-based""[tiab] OR ""gameful""[tiab] OR ""educational game""[tiab] OR ""educational games""[tiab] OR ""digital game""[tiab] OR ""digital games""[tiab] OR ""video game""[tiab] OR ""video games""[tiab] OR ""computer game""[tiab] OR ""computer games""[tiab] OR ""board game""[tiab] OR ""board games""[tiab] OR ""card game""[tiab] OR ""card games""[tiab] OR ""escape room""[tiab] OR ""escape rooms""[tiab] OR ""Video Games""[Mesh] OR ""Gamification""[Mesh]) AND (""Education, Nursing""[Mesh] OR ""Students, Nursing""[Mesh] OR ""Nurses""[Mesh] OR ""Faculty, Nursing""[Mesh] OR nursing[tiab] OR nurse[tiab] OR nurses[tiab] OR ""nursing student""[tiab] OR ""nursing students""[tiab] OR ""student nurse""[tiab] OR ""student nurses""[tiab]) AND (randomized[tiab] OR randomised[tiab] OR randomly[tiab] OR ""randomized controlled trial""[pt] OR ""controlled clinical trial""[pt] OR ""randomized controlled trial""[tiab] OR ""randomised controlled trial""[tiab] OR RCT[tiab] OR ""controlled trial""[tiab] OR ""Random Allocation""[Mesh] OR ""Randomized Controlled Trials as Topic""[Mesh])",205,..\..\projects\game-based-learning-nursing-education\02_search\round-01\log.md
scopus,"TITLE-ABS-KEY(""serious game*"" OR gamification OR gamified OR ""game-based learning"" OR ""game based learning"" OR ""game-based"" OR gameful OR ""educational game*"" OR ""digital game*"" OR ""video game*"" OR ""computer game*"" OR ""board game*"" OR ""card game*"" OR ""escape room*"") AND TITLE-ABS-KEY(nursing OR nurse OR nurses OR ""nursing student*"" OR ""student nurse*"") AND TITLE-ABS-KEY(randomized OR randomised OR randomly OR ""randomized controlled trial"" OR ""randomised controlled trial"" OR RCT OR ""controlled trial"")",292,..\..\projects\game-based-learning-nursing-education\02_search\round-01\scopus.log
embase,"('serious game':ti,ab OR 'serious games':ti,ab OR gamification:ti,ab OR gamified:ti,ab OR 'game-based learning':ti,ab OR 'game based learning':ti,ab OR 'game-based':ti,ab OR gameful:ti,ab OR 'educational game':ti,ab OR 'educational games':ti,ab OR 'digital game':ti,ab OR 'video game':ti,ab OR 'computer game':ti,ab OR 'board game':ti,ab OR 'card game':ti,ab OR 'escape room':ti,ab OR 'serious game'/exp OR 'gamification'/exp) AND ('nursing education'/exp OR 'nursing student'/exp OR 'nurse'/exp OR nursing:ti,ab OR nurse:ti,ab OR nurses:ti,ab OR 'nursing student':ti,ab OR 'student nurse':ti,ab) AND (randomized:ti,ab OR randomised:ti,ab OR randomly:ti,ab OR 'randomized controlled trial':ti,ab OR rct:ti,ab OR 'controlled trial':ti,ab OR 'randomized controlled trial'/exp)",NA,..\..\projects\game-based-learning-nursing-education\02_search\round-01\embase.log
cochrane,"(""serious game*"" OR gamification OR gamified OR ""game-based learning"" OR ""game based learning"" OR ""game-based"" OR ""educational game*"" OR ""digital game*"" OR ""video game*"" OR ""computer game*"" OR ""board game*"" OR ""card game*"" OR ""escape room*"") AND (nursing OR nurse OR nurses OR ""nursing student*"" OR ""student nurse*"")",NA,..\..\projects\game-based-learning-nursing-education\02_search\round-01\cochrane.log
