Trial,N_Total,pCR_ICI,pCR_Control,RR,CI_95,Weight,P_value
KEYNOTE-522,1174,508/784 (64.8%),200/390 (51.2%),1.26,"[1.13, 1.41]",319.6%,<0.001
IMpassion031,333,95/165 (57.6%),69/168 (41.1%),1.4,"[1.12, 1.75]",76.9%,0.0044
GeparNuevo,174,47/88 (53.4%),38/86 (44.2%),1.21,"[0.89, 1.64]",40.6%,0.2240
NeoTRIPaPDL1,280,67/138 (48.6%),63/142 (44.4%),1.09,"[0.85, 1.41]",60.6%,0.4800
CamRelief,441,126/222 (56.8%),98/219 (44.7%),1.27,"[1.05, 1.53]",110.3%,0.0040
POOLED (Random-effects),2402,843/1397,468/1005,1.26,"[1.16, 1.37]",100.0%,0.001501
