studlab,treat1,treat2,TE,seTE,n_intervention,n_comparator,median_fu_months,population
POLARIX_5y,PolaRCHP,RCHOP,-0.2613647641344075,0.11417770241282939,440,439,64.1,All DLBCL (IPI 2-5)
PHOENIX,IbrutRCHOP,RCHOP,-0.08664780672567217,0.13024078927118005,419,419,34.8,Non-GCB DLBCL only
ROBUST,LenaRCHOP,RCHOP,-0.16251892949777494,0.1512917658170823,285,285,27.1,ABC DLBCL only
ECOG-E1412,LenaRCHOP,RCHOP,-0.4155154439616658,0.21783683702747375,145,135,36,All DLBCL (IPI >=2)
REMoDL-B_5y,BortRCHOP,RCHOP,-0.21072103131565253,0.12234266269451559,459,459,64,All DLBCL
GOYA,GCHOP,RCHOP,-0.06187540371808753,0.0922933787258936,704,710,48,All DLBCL
CALGB_50303,DA_EPOCH_R,RCHOP,-0.07257069283483537,0.15935698502104198,241,250,62.4,All DLBCL
